GeneSymbol	cohort1_rep1	cohort1_rep2	cohort2_rep1	cohort2_rep2
COL11A2	0	0	0	0
HLA-DPB2	0	0	0	0
COL11A2P1	0	0	0	0
HLA-DPA2	0	0	0	0
RPL32P1	0	0	0	0
HLA-DPB1	0	0	0	0
HLA-DPA1	0	0	0	0
HLA-DOA	0	0	0	0
BRD2	0	20	1	3
HLA-DMA	0	0	0	0
HLA-DMB	0	0	0	0
HLA-Z	0	0	0	0
LOC100294145	0	0	0	0
PSMB9	0	0	0	0
TAP1	0	0	1	0
PSMB8-AS1	0	0	0	0
PSMB8	0	0	0	0
TAP2	3	5	1	1
HLA-DOB	0	0	0	0
HLA-DQB2	0	0	0	0
MIR3135B	0	0	0	0
HLA-DQA2	0	0	0	0
HLA-DQB1	24	31	113	104
HLA-DQA1	0	0	0	0
HLA-DRB1	119	142	5	1
FAM8A5P	0	0	0	0
PRKRAP1	0	0	0	0
HLA-DRB8	0	0	0	0
HLA-DRB4	0	0	0	0
HLA-DRB9	0	0	0	0
HLA-DRA	0	0	0	0
BTNL2	0	0	0	0
HCG23	0	0	0	0
RNU6-603P	0	0	0	0
TSBP1	0	0	0	0
TSBP1-AS1	0	0	0	0
NOTCH4	0	0	0	0
GPSM3	0	0	0	0
PBX2	2	10	8	12
AGER	0	0	2	0
MIR6833	0	0	0	0
RNF5	0	0	1	0
MIR6721	0	0	0	0
AGPAT1	5	6	6	15
EGFL8	0	0	0	0
PPT2-EGFL8	0	0	0	0
PPT2	0	0	0	0
LOC100507547	0	0	0	2
PRRT1	0	0	0	1
TNXB	0	0	1	1
CYP21A2	0	0	0	0
C4B	0	0	0	0
STK19B	0	0	0	0
TNXA	0	0	0	1
CYP21A1P	0	0	0	0
C4B_2	0	1	0	0
STK19	0	0	0	0
DXO	0	0	0	4
SKIV2L	0	0	0	2
MIR1236	0	0	0	0
NELFE	0	1	0	0
CFB	0	1	0	0
C2-AS1	0	0	0	0
C2	0	0	0	0
EHMT2	0	0	0	2
SLC44A4	0	0	0	0
NEU1	0	0	0	1
VARS1	1	0	1	23
VWA7	0	0	0	0
SAPCD1-AS1	0	0	0	0
SAPCD1	0	0	0	0
RNU6-850P	0	0	0	0
MSH5	0	0	0	0
MSH5-SAPCD1	0	0	0	0
CLIC1	57	0	92	0
DDAH2	0	0	0	0
MPIG6B	1	0	0	0
LY6G6C	0	0	0	0
LY6G6D	0	0	0	0
LY6G6E	0	0	0	0
LY6G6F	0	0	0	0
LY6G6F-LY6G6D	0	0	0	0
MIR4646	0	0	0	0
ABHD16A	0	0	0	1
LY6G5C	0	0	0	0
LY6G5B	0	0	1	0
CSNK2B	29	45	52	56
GPANK1	0	0	0	0
C6orf47	0	0	0	0
APOM	0	0	0	0
BAG6	0	3	1	3
MIR6832	0	0	0	0
SNORA38	0	0	0	0
PRRC2A	25	33	32	31
AIF1	0	0	0	0
UQCRHP1	0	0	0	0
NCR3	0	0	0	0
LST1	0	0	0	0
LTB	0	0	0	0
TNF	0	0	0	0
LTA	0	0	0	0
LOC100287329	0	0	0	0
NFKBIL1	0	0	0	0
ATP6V1G2	0	0	0	0
DDX39B-AS1	0	0	0	0
SNORD84	0	0	0	0
SNORD117	0	0	0	0
DDX39B	0	0	0	0
ATP6V1G2-DDX39B	0	0	0	0
MCCD1	0	0	0	0
RPL15P4	0	0	0	0
PPIAP9	0	0	0	0
MICB	0	1	0	0
MICB-DT	0	0	0	0
HCG26	0	0	0	0
HCP5	0	0	0	0
HLA-X	0	0	0	0
LINC01149	0	0	0	0
MICA	49	49	59	46
MICA-AS1	1	0	0	0
MIR6891	0	0	0	0
HLA-B	2	11	9	17
LINC02571	0	0	0	0
HLA-C	1	1	2	1
HCG27	0	0	0	0
PSORS1C3	0	0	0	0
POU5F1	0	0	0	0
TCF19	0	0	0	0
RNU6-1133P	0	0	0	0
HCG22	0	0	0	0
MUC22	0	0	0	0
HCG20	0	0	0	0
RN7SL353P	0	0	0	0
IER3	0	1	0	0
IER3-AS1	0	0	0	0
FLOT1	1	2	0	3
TUBB	0	3	8	6
MDC1-AS1	0	0	0	0
MDC1	1	7	0	0
DHX16	0	0	0	0
C6orf136	0	0	0	1
PTMAP1	0	0	0	0
ATAT1	0	0	0	0
MRPS18B	0	1	0	0
PPP1R10	1	0	1	0
MIR877	0	0	0	0
ABCF1	1	1	3	1
PRR3	0	0	2	0
GNL1	2	23	0	1
LINC02569	0	0	0	0
HLA-E	1	1	0	4
RANP1	0	0	0	1
SUCLA2P1	0	0	0	0
UBQLN1P1	0	0	0	0
HLA-N	0	0	0	0
RPP21	0	0	0	0
TRIM39-RPP21	0	0	0	0
TRIM39	0	0	0	0
HCG18	5	1	3	5
HLA-L	0	0	0	0
HCG17	0	0	0	0
PAIP1P1	0	0	0	0
TRIM26	0	1	1	0
TRIM15	0	0	0	0
TRIM10	0	0	0	0
TRIM40	0	0	0	0
TRIM31-AS1	0	0	0	0
TRIM31	0	0	0	0
RNF39	0	0	0	0
PPP1R11	2	2	0	0
POLR1H	1	1	0	0
ETF1P1	1	0	0	0
HLA-J	0	0	0	0
HCG4P3	0	0	1	3
ZNRD1ASP	1	2	1	0
LOC353007	0	0	0	0
MCCD1P2	0	0	0	0
DDX39BP2	0	0	0	0
HCG9	0	0	0	0
HCG4B	0	0	1	1
DDX39BP1	0	0	0	0
HLA-A	0	2	2	49
HLA-H	0	0	1	0
HCP5B	0	0	0	0
HCGVIII-2	0	0	0	0
HLA-G	0	0	0	0
MICG	0	0	0	0
RPL7AP7	0	0	0	0
HLA-P	0	0	0	0
HCG4P9	0	0	0	0
HLA-V	0	0	0	0
HCG4	0	0	0	0
LOC353010	0	0	0	0
IFITM4P	0	0	0	0
MICE	1	1	2	1
HLA-F-AS1	0	0	1	0
HLA-F	0	0	0	0
ZDHHC20P1	0	0	0	0
ZFP57	0	0	0	0
MOG	0	0	0	0
SUMO2P1	1	1	0	1
GABBR1	0	1	0	0
GPR53P	0	0	0	0
LINC01015	0	0	0	0
RPS17P1	0	0	0	0
MAS1L	0	0	0	0
MAS1LP1	0	0	0	0
UBDP1	0	0	0	0
OR2H1	0	0	0	0
OR10C1	0	0	0	0
OR11A1	0	0	0	0
OR12D1	0	0	0	0
OR12D2	0	0	0	0
OR12D3	0	0	0	0
OR5V1	0	0	0	0
DDX6P1	0	0	0	0
OR14J1	0	0	0	0
OR2B4P	0	0	0	0
OR2U2P	0	0	0	0
OR2U1P	0	0	0	0
OR2G1P	0	0	0	0
LOC101929006	0	0	0	0
OR2H4P	0	0	0	0
OR2J4P	0	0	0	0
OR2J2	0	0	0	0
OR2N1P	0	0	0	0
OR2J3	0	0	0	0
OR2J1	0	0	0	0
OR2B3	0	0	0	0
SAR1AP1	0	0	0	0
OR2P1P	0	0	0	0
OR2W1	0	0	0	0
LOC100129636	0	0	0	0
OR2AD1P	0	0	0	0
ZNF311	0	0	0	0
TRL-AAG3-1	0	0	0	0
HCG15	0	0	0	0
TRE-CTC1-6	0	0	0	0
TRF-GAA1-2	0	0	0	0
RN7SL471P	0	0	0	0
KRT18P1	0	0	0	0
TRM-CAT3-2	0	0	0	0
TRK-TTT3-3	0	0	0	0
TRM-CAT3-1	0	0	0	0
LINC01556	0	0	0	0
TRL-AAG2-2	0	0	0	0
TRQ-CTG1-3	0	0	0	0
TRL-CAA1-2	0	0	0	0
RNU6-930P	0	0	0	0
TRIM27	0	0	1	0
HCG14	0	0	0	0
ZNF90P2	0	0	0	0
TRR-CCG1-2	0	0	0	0
TRA-AGC2-2	0	0	0	0
RPL13P	0	0	0	0
LINC01623	0	0	0	0
TRA-AGC2-1	0	0	0	0
TRF-GAA4-1	0	0	0	0
TRA-TGC5-1	0	0	0	0
TRA-AGC6-1	0	0	0	0
TRF-GAA3-1	0	0	0	0
TRA-TGC7-1	0	0	0	0
TRA-AGC1-1	0	0	0	0
TRF-GAA1-1	0	0	0	0
TRA-TGC1-1	0	0	0	0
NOP56P1	0	0	0	0
TRA-AGC23-1	0	0	0	0
TRF-GAA5-1	0	0	0	0
TRF-GAA6-1	0	0	0	0
TRA-TGC6-1	0	0	0	0
TRK-TTT7-1	0	0	0	0
TRR-CCG1-1	0	0	0	0
TRV-AAC6-1	0	0	0	0
RPSAP2	0	0	0	0
TRA-CGC4-1	0	0	0	0
TRF-GAA11-1	0	0	0	0
TRT-AGT3-1	0	0	0	0
TRA-AGC7-1	0	0	0	0
TRA-AGC5-1	0	0	0	0
TRA-CGC5-1	0	0	0	0
TRK-TTT13-1	0	0	0	0
LYPLA2P1	0	0	0	0
MYL8P	0	0	0	0
DAXX	20	29	16	26
ZBTB22	6	9	3	9
TAPBP	3	10	0	0
RGL2	1	0	1	0
MIR6834	0	0	0	0
PFDN6	0	1	0	0
MIR6873	0	0	0	0
WDR46	6	8	28	18
B3GALT4	0	0	2	0
RING1	0	0	0	0
MIR219A1	0	0	0	0
HSD17B8	0	0	0	0
SLC39A7	0	0	0	0
RNY4P10	0	0	0	0
RXRB	0	1	0	0
HCG24	0	0	0	0
PPP1R2P1	0	0	0	0
RNU1-116P	0	0	0	0
HLA-DRB2	0	0	0	0
HLA-DRB3	0	0	0	0
HNRNPA1P2	0	0	0	1
RNA5SP206	0	0	0	0
C4A	0	0	0	0
ZBTB12	4	1	1	2
SNORD52	0	0	0	0
SNORD48	0	0	0	0
SNHG32	2	1	2	2
HSPA1B	21	17	14	10
HSPA1A	115	116	10	29
HSPA1L	0	1	0	0
LSM2	0	0	0	0
CCHCR1	19	6	15	23
PSORS1C2	0	0	0	0
CDSN	0	0	0	0
PSORS1C1	0	1	8	6
C6orf15	0	0	0	0
MUC21	0	0	0	0
NAPGP2	0	0	0	0
HCG21	0	0	0	0
MUCL3	0	0	0	0
SFTA2	0	0	0	0
VARS2	2	1	2	2
GTF2H4	0	0	0	2
MIR4640	0	0	0	0
DDR1	3	1	5	3
LINC02570	0	0	0	0
LINC00243	1	0	3	1
RPL7P4	0	0	0	0
NRM	0	0	0	0
PPP1R18	0	0	1	0
MICC	0	0	0	0
TRIM26BP	0	0	0	0
MICD	0	0	0	0
HLA-W	0	0	0	0
MICF	0	0	0	0
RPL23AP1	0	0	0	0
HCG4P11	0	0	0	0
OR2H2	0	0	0	0
RPL13AP	0	0	0	0
SNORD32B	0	0	0	0
TMEM183AP1	0	0	0	0
OR2H5P	0	0	0	0
UBD	0	0	0	0
OR2I1P	0	0	0	0
HLA-DQB1-AS1	0	0	0	0
FKBPL	3	0	0	0
ATF6B	24	41	39	32
LOC110384692	0	0	0	0
WASF5P	0	0	0	0
HCG4P8	0	0	0	0
HCG9P5	0	0	0	0
HLA-DRB7	0	0	0	0
HLA-S	0	0	0	0
ZDHHC20P2	0	0	0	0
RN7SKP186	0	1	0	0
TMPOP1	0	0	0	0
HLA-DPA3	0	0	0	0
RNU1-79P	0	0	0	0
RPL3P2	1	1	0	3
TRA-CGC2-1	0	0	0	0
TRA-AGC4-1	0	0	0	0
LINC00533	0	0	0	0
TRT-CGT3-1	0	0	0	0
TRA-TGC2-1	0	0	0	0
TRA-TGC9-1	0	0	0	0
TRA-AGC3-1	0	0	0	0
TRS-GCT4-1	0	0	0	0
TRQ-TTG2-1	0	0	0	0
ZBED9	0	1	0	0
TRR-TCG5-1	0	0	0	0
TRI-TAT3-1	0	0	0	0
GPX5	0	0	0	0
GPX6	0	0	0	0
TMLHE	68	106	233	262
TMLHE-AS1	0	0	0	0
H2AB3	0	0	0	0
MIR1184-3	0	0	0	0
F8A3	32	48	43	37
MIR1184-2	0	0	0	0
F8A2	0	0	0	0
H2AB2	0	0	0	0
LOC553939	8	13	21	31
LOC101927830	0	1	1	1
PHF10P1	0	0	0	0
TWF1P2	2	1	2	1
CLIC2	6	3	7	15
RAB39B	209	301	655	691
VBP1	739	959	1072	1148
BRCC3	348	427	991	1055
MTCP1	10	13	34	23
CMC4	76	91	110	81
FUNDC2	632	756	567	626
ZNF622P1	0	1	0	0
EEF1A1P31	3	0	2	2
MIR1184-1	0	0	0	0
F8A1	53	72	58	63
H2AB1	0	0	0	0
F8	71	82	107	114
SMIM9	0	0	0	0
HMGN1P37	5	17	14	15
MPP1	0	1	1	3
SNORA56	0	0	0	0
MIR664B	0	0	0	0
SNORA36A	0	0	0	0
DKC1	1399	1833	2973	3274
GAB3	0	4	1	0
OR3B1P	0	0	0	0
CTAG2	0	0	0	0
IKBKGP1	27	34	34	34
FAM223B	0	0	0	0
ATF4P1	1	2	1	5
CTAG1B	0	0	0	0
CTAG1A	0	0	0	0
ATF4P2	0	0	0	0
FAM223A	0	0	1	0
IKBKG	22	32	39	40
G6PD	4573	5559	15349	16323
FAM3A	321	439	489	566
RN7SL697P	0	0	0	0
SLC10A3	257	285	652	677
UBL4A	553	710	1137	1207
LAGE3	541	652	130	126
PLXNA3	1317	1607	1780	1854
MIR6858	0	0	0	1
FAM50A	694	835	547	519
GDI1	1568	1863	1857	2049
ATP6AP1	1991	2428	1771	1912
CH17-340M24.3	34	40	25	24
TAZ	215	234	175	226
DNASE1L1	417	534	523	499
SNORA70	19	33	34	45
RPL10	4645	6205	7283	7636
EMD	915	1030	825	901
FLNA	16744	19802	62853	67717
TKTL1	0	0	0	0
TEX28	0	0	0	0
OPN1MW3	0	0	0	0
LOC102030688	0	0	0	0
OPN1MW2	0	0	0	0
TEX28P1	1	1	1	0
OPN1MW	0	0	0	0
TEX28P2	0	0	0	0
OPN1LW	0	0	0	0
MECP2	920	1162	1839	2076
MIR718	0	0	0	0
IRAK1	1307	1566	3576	3850
MIR3202-2	0	0	0	0
MIR3202-1	0	0	0	0
TMEM187	141	173	98	107
HCFC1-AS1	0	0	0	0
HCFC1	3455	4172	4159	4375
RENBP	2	3	1	3
NAA10	646	872	834	941
ARHGAP4	124	160	35	39
AVPR2	0	0	0	0
LCA10	0	0	0	0
L1CAM	572	622	13	11
CYCSP45	0	0	0	0
PDZD4	107	130	269	300
SSR4	970	1172	1769	1933
IDH3G	873	1060	1330	1384
SRPK3	1	0	1	0
PLXNB3	406	453	537	564
ABCD1	924	1059	148	158
BCAP31	1524	1752	1991	2139
SLC6A8	149	193	1394	1479
PNCK	5	3	2	3
RN7SL687P	0	0	0	0
RPL18AP16	10	6	5	8
DUSP9	41	49	8	6
KRT18P48	8	5	2	2
LOC105373383	13	11	13	8
CCNQ	136	174	271	243
ATP2B3	1	3	0	0
BGN	216	256	0	0
ECMXP	0	0	0	0
HAUS7	156	192	210	214
TREX2	13	10	6	10
ZFP92	0	0	0	0
PNMA6E	0	0	1	0
LOC105373378	0	0	0	0
MIR12129	0	0	0	0
ZNF275	218	243	723	758
PNMA6F	0	0	0	0
PWWP4	0	0	0	0
MAGEA1	2	3	0	0
LOC728307	0	0	0	0
PNMA6B	0	0	0	0
PNMA6A	0	0	0	0
PNMA3	0	0	1	0
HMGN2P48	0	0	0	0
PNMA5	0	0	0	0
ZNF185	560	732	241	249
NSDHL	177	247	385	413
CETN2	480	558	389	388
PSMAGEA	0	0	0	0
MAGEA6	0	0	0	0
CSAG3	0	0	0	0
MAGEA2	0	0	0	0
CSAG4	0	0	0	0
MAGEA12	0	0	0	0
CSAG1	1	0	0	0
MAGEA2B	0	0	0	0
MAGEA3	0	0	0	0
LOC100420250	0	0	0	0
GABRQ	30	49	0	0
RPL19P21	0	0	1	1
HMGB3	1252	1617	2404	2491
RNU6-383P	0	0	0	0
PPIAP91	0	0	0	0
CD99L2	316	342	253	233
CYP2C64P	2	1	0	0
MTMR1	837	1023	1151	1236
MTM1	196	286	249	265
MAMLD1	149	204	161	163
MIR2114	0	0	0	0
LOC643015	77	89	94	118
LINC00894	19	27	8	13
EOLA2	200	253	131	144
HSFX4	0	0	0	0
MAGEA8	0	0	0	0
MAGEA8-AS1	0	0	0	0
LINC00850	0	0	0	0
DUTP4	0	0	0	0
MAGEA7P	0	0	0	0
MAGEA9	0	0	0	0
HSFX1	0	0	0	0
TMEM185AP1	6	5	4	5
LOC100420334	0	0	0	0
LOC100420322	0	0	0	0
MAGEA11	0	0	0	1
LOC100420321	0	0	0	0
TMEM185A	67	99	56	62
HSFX2	1	0	0	1
MAGEA9B	0	0	0	0
HSFX3	1	0	0	0
EOLA1	89	115	72	64
LINC00893	16	31	10	9
IDSP1	0	0	1	0
IDS	1319	1713	1910	1961
RN7SKP267	0	0	0	0
AFF2	2	3	39	30
RPL7L1P11	1	2	3	1
HAX1P1	12	15	13	12
FTH1P8	11	16	17	9
RNA5SP524	0	0	0	0
FMR1NB	0	0	0	0
FMR1	1316	1604	1032	1091
FMR1-AS1	0	1	1	1
RNU6-382P	0	0	0	0
SLIRPP1	0	0	0	0
MIR514A3	0	0	0	0
MIR514A2	0	0	0	0
MIR514A1	0	0	0	0
MIR510	0	0	0	0
MIR509-1	0	0	0	0
MIR509-3	0	0	0	0
MIR509-2	0	0	0	0
MIR514B	0	0	0	0
MIR508	0	0	0	0
MIR507	0	0	0	0
MIR506	0	0	0	0
MIR513A2	0	0	0	0
MIR513A1	0	0	0	0
MIR513B	0	0	0	0
MIR513C	0	0	0	0
LOC100419907	0	0	0	0
CXorf51A	0	0	0	0
CXorf51B	0	0	0	0
ANKRD11P2	11	11	20	36
ELL2P4	0	0	0	0
RNA5SP517	0	0	0	0
MIR891A	0	0	0	0
MIR891B	0	0	0	0
MIR892B	0	0	0	0
MIR892A	0	0	0	0
MIR888	0	0	0	0
MIR890	0	0	0	0
MIR892C	0	0	0	0
SLITRK2	0	0	0	0
UFM1P1	0	0	0	0
TRMT1P1	0	0	0	0
SPANXN1	0	0	0	0
CYCSP44	0	0	0	0
RN7SKP189	30	50	22	27
HNRNPCP10	0	0	0	0
RRM2P4	0	0	0	0
UBE2NL	0	2	4	1
SPANXN2	0	0	0	0
HNRNPH1P2	0	0	0	0
SLITRK4	58	78	2	2
MYCLP3	0	0	0	0
SPANXN3	0	0	0	0
MTND2P39	0	0	0	0
MTND1P33	0	0	0	0
PGBD4P6	0	0	0	0
SPANXD	0	0	0	0
LOC645188	0	0	0	0
SPANXA2	0	0	0	0
SPANXA1	1	1	0	0
SPANXA2-OT1	0	1	0	0
NDUFB3P5	0	0	0	0
RBMX2P2	0	1	2	1
SPANXC	0	0	0	0
LDOC1	2230	2675	312	315
RPL36AP52	0	1	0	0
RNU6-3P	0	1	2	1
SPANXB1	0	0	0	0
MIR320D2	0	0	0	0
E2F6P4	0	0	0	0
GAPDHP67	0	0	0	0
SLC9A6	95	120	313	308
MMGT1	1141	1434	643	702
CT45A11P	0	3	0	0
SAGE1	49	59	0	0
CT45A10	3	2	0	0
CT45A9	24	27	0	0
CT45A8	0	0	0	0
CT45A7	0	0	0	0
CT45A2	0	0	0	0
CT45A6	0	0	0	0
CT45A5	0	0	0	0
CT45A3	0	0	0	0
MGAT2P2	0	0	0	0
MGAT2P1	0	0	0	0
CT45A1	0	0	0	0
SAGE2P	0	0	0	0
SAGE3P	0	0	0	0
ETS2P1	0	0	0	0
INTS6L	154	172	81	92
INTS6L-AS1	3	2	0	1
WDR4P1	0	0	0	0
CROCCP1	2	3	0	1
RNA5SP515	0	0	0	0
SMIM10L2A	264	331	1	2
LOC100506790	0	0	0	0
ZNF449	97	148	42	47
ETDC	0	0	0	0
LOC100421043	0	0	0	0
ETDA	0	0	0	0
ZNF75D	534	707	173	237
LOC100419794	0	0	0	0
LOC650024	0	0	0	0
LOC728470	2	1	2	0
CT55	0	2	0	0
LOC100419791	0	0	0	0
SMIM10L2B-AS1	0	0	0	0
ETDB	0	0	0	0
SMIM10L2B	3	2	1	0
NCLP2	0	0	0	0
TMEM255A	0	0	0	0
ZBTB33	728	941	733	773
NKAPP1	14	18	3	5
EEF1A1P30	6	4	0	3
SFR1P1	1	0	0	0
RHOXF2	0	0	0	0
LINC01402	1	0	0	0
RHOXF1	1	0	0	0
RHOXF2B	0	0	0	0
RHOXF1-AS1	0	0	0	0
RHOXF1P1	0	1	0	0
RHOXF1P2	0	0	0	0
RHOXF1P3	0	0	0	0
PRPF4BP1	2	2	1	0
LOC100506955	0	0	0	0
SLC6A14P2	0	0	0	0
SLC6A14P1	0	0	0	0
CT83	0	0	0	0
SLC6A14	2040	2728	64	74
RNU6-154P	0	0	0	0
AGTR2	0	0	0	0
API5P1	34	45	76	64
AKR1B1P8	0	0	0	0
RN7SL712P	0	0	0	0
DANT1	0	0	0	0
DANT2	28	49	24	18
SUMO2P21	2	3	1	2
EEF1GP5	2	2	2	2
ASS1P5	2	13	4	1
PHF5FP	0	0	0	0
PLS3	605	743	2819	2874
PLS3-AS1	4	1	5	5
TUBAP6	1	0	0	0
LUZP4	0	0	0	0
RPL36P18	0	0	0	0
RBMXL3	0	0	0	0
TMSB4XP7	0	0	0	0
SNORA35B	0	0	0	0
LRCH2	0	0	0	0
YAP1P2	0	0	0	0
LOC100419790	0	0	0	0
RNU6-648P	0	0	0	0
IL13RA2	0	1	0	0
MIR448	0	0	0	0
HSPA8P7	53	56	128	161
MIR1911	0	0	0	0
MIR1298	0	0	0	0
MIR1264	0	0	0	0
MIR1912	0	0	0	0
MIR764	0	0	0	0
SNORA35	0	0	0	0
RPL36AP53	0	0	0	0
HTR2C	58	79	105	103
SSU72P1	0	0	0	0
TNPO3P1	0	0	1	1
RN7SL93P	0	0	0	0
RNU1-57P	0	0	0	0
QTRT1P1	0	0	0	0
XACT	0	0	0	0
PPIHP2	1	7	8	4
LOC101928437	0	0	0	0
TEX13A	0	0	0	0
IL1RAPL2	1	0	2	3
ESX1	0	0	0	0
FAM199X	983	1243	1067	1053
LOC286437	54	77	15	25
ZCCHC18	5	3	14	13
SLC25A53	0	2	11	5
LOC101060236	0	0	0	0
H2BW3P	0	0	1	0
H2BW2	0	0	0	0
H2BW1	0	1	0	0
H2BW4P	0	1	1	0
DPPA3P1	0	0	0	2
SLC25A53P1	3	2	2	5
TMSB15B	8	14	51	57
ELF2P1	13	8	5	6
H2BP9	0	0	2	0
TMSB15B-AS1	4	6	6	4
TMSB15A	3	2	8	5
TCP11X2	0	0	0	0
NXF2B	0	0	0	0
LOC100499471	0	0	0	0
NXF2	0	0	0	0
TCP11X1	0	0	0	0
TCP11X3P	0	0	0	0
BEX5	61	57	41	49
TCEAL6	8	6	4	2
RNU6-587P	0	0	0	0
LOC100420247	0	0	0	0
ARMCX2	5	8	199	250
RNU6-30P	0	0	0	0
ARMCX3	1020	1308	597	664
ARMCX6	273	372	51	64
ARMCX7P	0	0	0	0
ARMCX1	16	22	0	0
PRKCIP1	20	34	28	27
PPIAP90	0	0	0	0
ARMCX4	11	15	0	0
HNRNPH2	1	5	0	0
GLA	369	411	115	119
RPL36A	18	23	12	7
RPL36A-HNRNPH2	0	0	0	0
BTK	0	0	0	3
TIMM8A	233	264	160	153
RPL21P132	0	0	0	0
NANOGNBP3	0	3	3	3
RNU6-934P	0	0	0	0
FNDC3CP	0	0	0	0
TAF9B	327	418	281	321
PGK1	1896	2530	3932	4018
PGAM4	2	4	7	0
LOC101241901	1	7	3	2
ATP7A	239	284	378	415
COX7B	342	509	619	711
RN7SL460P	0	0	0	0
RNU6-854P	0	0	0	0
MAGT1	599	823	1214	1244
FABP5P15	0	0	0	0
ATRX	1324	1712	2384	2434
FGF16	0	0	0	0
SPRYD7P1	0	0	0	0
RNA5SP509	0	0	0	0
MIR325	0	0	0	0
MIR384	0	0	0	0
MIR325HG	0	0	0	0
TRAPPC13P1	0	0	0	0
RNA5SP508	0	0	0	0
MAGEE1	20	17	68	78
LDHBP2	0	0	31	39
LOC100533728	0	0	0	0
RNU6-867P	0	0	0	0
MMADHCP1	0	0	0	0
PBDC1	228	281	381	414
ARL5AP5	0	0	0	0
NAP1L6P	7	7	21	26
PABPC1L2A	0	0	7	4
PABPC1L2B	0	1	25	26
PABPC1L2B-AS1	0	0	7	4
FAM226A	0	0	3	4
FAM236A	0	0	0	0
FAM236C	0	0	0	0
DMRTC1	0	0	3	1
FAM236D	0	0	0	0
FAM236B	0	0	0	0
FAM226B	0	0	0	0
DMRTC1B	0	0	0	0
RNU1-112P	0	0	0	0
CAPZA1P3	0	1	0	4
PHKA1-AS1	0	0	0	0
MATR3P1	1	0	0	0
PHKA1	312	377	508	495
RNU2-68P	0	0	0	0
HDAC8	80	124	220	214
MIR1468	0	0	0	0
BTF3P8	1	0	0	0
ARHGEF9-IT1	1	0	0	0
ARHGEF9	187	253	266	279
LINC01278	126	140	164	179
SPIN4	252	317	255	301
CBX1P1	28	45	44	48
SPIN4-AS1	0	0	0	0
LOC100533730	0	0	0	0
LOC100533729	0	0	0	0
RNU6-434P	0	0	0	0
RPL7AP71	0	0	0	0
WNK3	2	1	2	4
RPL37P24	0	0	0	0
FAM120C	1247	1551	227	232
PHF8	714	890	687	750
RNA5SP505	0	0	0	0
MRPS18CP7	12	9	9	11
MRPL32P2	12	12	8	11
MIRLET7F2	1	1	0	0
MIR98	2	0	2	0
HUWE1	8613	10691	4904	5393
VTRNA3-1P	0	0	0	0
TIPINP1	0	0	0	0
HSD17B10	1140	1410	726	718
RIBC1	13	18	6	5
MIR6857	0	1	0	0
SMC1A	2152	2683	1935	1908
RPSAP62	0	0	0	0
